Class;N;AverageBest_all_heuristics_no_order;AverageBest_all_heuristics_no_order_mut_0.003;AverageBest_all_heuristics_no_order_mut_0.005;AverageBest_all_heuristics_no_order_mut_0.01;AverageBest_all_heuristics_volume;AverageBest_max_distance_no_order;AverageBest_max_distance_volume;AverageTime_all_heuristics_no_order;AverageTime_all_heuristics_no_order_mut_0.003;AverageTime_all_heuristics_no_order_mut_0.005;AverageTime_all_heuristics_no_order_mut_0.01;AverageTime_all_heuristics_volume;AverageTime_max_distance_no_order;AverageTime_max_distance_volume
class1;n100;11.9177804;12.0484112;12.0124006;12.3764369;11.928001;12.2988269;12.3258651;499.353;474.544;463.942;477.679;493.834;536.687;525.482
class1;n150;18.7359856;18.8029241;19.0654029;19.1817907;18.7050639;19.283101600000002;19.1954779;1512.054;1372.891;1427.796;1373.307;1509.1;1727.825;1846.784
class1;n50;7.2876378;7.2708832;7.2732646;7.2589697;7.3090344;7.3721224;7.4048462;67.848;52.137;50.787;52.294000000000004;65.619;74.37;74.96
class2;n100;7.8842745;7.920723000000001;8.0149237;8.1846803;7.8759811;8.0983444;8.0872128;434.657;388.953;394.271;396.382;433.12;484.837;481.16700000000003
class2;n150;11.6966562;11.7390306;11.8515621;11.9216768;11.6499077;11.9326729;11.9740014;1471.915;1094.2259999999999;1143.747;1238.305;1409.797;1293.503;1398.542
class2;n50;4.6104497;4.5958882;4.605364;4.6027625;4.6488015;4.6932100000000005;4.6505354;60.043;40.632;48.357;48.318;58.842;58.785;58.616
class3;n100;6.17421;6.199377;6.2152996;6.3562422;6.1672412;6.3200886;6.3228622;415.811;337.56;355.288;366.147;451.917;435.525;424.872
class3;n150;9.4962858;9.5627466;9.6365739;9.7549985;9.4825395;9.7561702;9.7459924;1176.187;1083.902;1085.547;1129.347;1199.086;1354.51;1307.581
class3;n50;3.8353187;3.8277736;3.8512028;3.831041;3.8559045;3.8822644;3.8833509;59.988;40.829;50.146;50.396;63.973;57.491;55.252
class4;n100;16.0967793;16.1688625;16.1784282;16.2477012;16.2117978;16.1857313;16.262370400000002;557.3580000000001;461.499;552.373;542.1370000000001;584.429;577.819;554.072
class4;n150;24.4877917;24.6959994;24.7582582;24.9977421;24.523974600000003;24.912345600000002;25.0356125;1754.084;1385.144;1621.552;1574.51;1738.443;1907.819;1863.942
class4;n50;8.5668607;8.552378000000001;8.5694813;8.5459557;8.5654889;8.6856521;8.7543469;66.894;54.992;56.256;56.638;68.155;72.85;61.164
