Generation;Best;Average
1;6,121606;6,21171331
2;6,097574;6,187790375
3;6,097574;6,178674782
4;6,079514;6,168101684
5;6,075091;6,159121792
6;6,075091;6,148396639
7;6,074615;6,144169473
8;6,069816;6,137831868
9;6,068551;6,127438168
10;6,068551;6,12549909
11;6,068254;6,126178729
12;6,063799;6,124159213
13;6,063511;6,118738818
14;6,063511;6,121678138
15;6,060933;6,122841403
16;6,057643;6,117641386
17;6,054165;6,11855516
18;6,054165;6,118181886
19;6,054165;6,113530796
20;6,049413;6,112106148
21;6,049413;6,110009984
22;6,047253;6,108473875
23;6,042856;6,109066034
24;6,042856;6,103300726
25;6,037281;6,109009329
26;6,037281;6,104258204
27;6,037281;6,105019916
28;6,034626;6,101167094
29;6,034626;6,098773418
30;6,029406;6,097270582
31;6,029168;6,097602558
32;6,029168;6,095593584
33;6,029168;6,092857304
34;6,015776;6,093483058
35;6,015776;6,096244914
36;6,015776;6,095502824
37;6,015776;6,093257815
38;6,015776;6,089477221
39;6,015776;6,086273488
40;6,015776;6,083562136
41;6,015776;6,087301026
42;6,015776;6,084798899
43;6,015776;6,087726066
44;6,015776;6,086527716
45;6,015776;6,088150331
46;6,015776;6,084828425
47;6,015776;6,088303672
48;6,015776;6,089038461
49;6,010556;6,089346829
50;6,010556;6,085601052
51;6,010556;6,08661326
52;6,010556;6,082744834
53;6,010556;6,085946045
54;6,010556;6,085033007
55;6,010556;6,089966488
56;6,010556;6,08745694
57;6,010556;6,086686667
58;6,010556;6,090430348
59;6,010556;6,084071721
60;6,010556;6,084990477
61;6,010556;6,083350773
62;6,010556;6,086421958
63;6,010556;6,086919262
64;6,010556;6,085669745
65;6,010556;6,082841708
66;6,010556;6,084005278
67;6,010556;6,087625809
68;6,010556;6,0903661
69;6,010556;6,085708187
70;6,010556;6,086091246
71;6,010556;6,084141282
72;6,010556;6,085426974
73;6,010556;6,087052571
74;6,010556;6,088927923
75;6,010556;6,084646586
76;6,010556;6,086734482
77;6,010556;6,086393144
78;6,010556;6,083876327
79;6,007875;6,083589348
80;6,007875;6,085686138
81;6,007875;6,086036843
82;5,700617;6,088475218
83;5,700617;6,085924067
84;5,700617;6,075668277
85;5,700617;6,052570461
86;5,698197;5,931638366
87;5,698197;5,930446265
88;5,698043;5,947089369
89;5,697133;5,943879702
90;5,695623;5,928223091
91;5,694545;5,927938144
92;5,694545;5,924557463
93;5,694545;5,933390886
94;5,694545;5,933113993
95;5,692335;5,930048989
96;5,692335;5,933627041
97;5,692335;5,924233395
98;5,692335;5,934221655
99;5,690883;5,925213901
100;5,690883;5,918828792
